Date,Open,High,Low,Close,Volume,FearGreedIndex,SMA5,SMA20,RSI14,MACD,MACD_Signal,MACD_Histogram,ATR14,BB_Middle,BB_Upper,BB_Lower
2018-04-01,7003.06005859375,7060.9501953125,6526.8701171875,6844.22998046875,4532100096,16.0,7165.6919921875,8168.035986328125,29.784571064640446,-647.6731997196057,-501.9442064449183,-145.7289932746874,603.4843701223879,8168.035986328125,9559.453573342103,6776.618399314145
2018-04-02,6844.85986328125,7135.47021484375,6816.580078125,7083.7998046875,4333440000,11.0,6991.55595703125,8062.48349609375,33.88657470409471,-650.9248426624918,-531.740333688433,-119.18450897405876,583.1562105935566,8062.48349609375,9446.579578341616,6678.387413845883
2018-04-03,7102.259765625,7530.93994140625,7072.490234375,7456.10986328125,5499700224,22.0,7049.637890625,8021.798510742187,39.774981051528385,-616.3545315457368,-548.6631732598938,-67.69135828584297,574.248603196249,8021.798510742187,9426.804513955525,6616.792507528849
2018-04-04,7456.41015625,7469.8798828125,6803.8798828125,6853.83984375,4936000000,22.0,7042.30185546875,7949.447485351562,34.43244847617473,-630.2898787354361,-564.9885143550023,-65.30136438043382,580.8022743965169,7949.447485351562,9436.173274771134,6462.72169593199
2018-04-05,6848.64990234375,6933.81982421875,6644.7998046875,6811.47021484375,5639320064,17.0,7009.88994140625,7873.103515625,34.08558699550335,-637.405008569056,-579.471813197813,-57.93319537124296,559.9606847632834,7873.103515625,9427.384522166385,6318.822509083614
2018-04-06,6815.9599609375,6857.490234375,6575.0,6636.31982421875,3766810112,19.0,6968.30791015625,7809.075512695313,32.62257612207867,-649.6877766815041,-593.5150058945513,-56.17277078695281,540.1413668784061,7809.075512695313,9453.744054517498,6164.406970873127
2018-04-07,6630.509765625,7050.5400390625,6630.509765625,6911.08984375,3976610048,20.0,6933.76591796875,7743.446020507812,37.178026003019895,-629.9882028277216,-600.8096452811855,-29.178557546536126,531.5620030611984,7743.446020507812,9421.123587698092,6065.7684533175325
2018-04-08,6919.97998046875,7111.56005859375,6919.97998046875,7023.52001953125,3652499968,17.0,6847.24794921875,7663.089501953125,38.99553562046853,-598.4059220785011,-600.3289006406486,1.9229785621474775,507.91258961709497,7663.089501953125,9316.874769048582,6009.304234857669
2018-04-09,7044.31982421875,7178.10986328125,6661.990234375,6770.72998046875,4894060032,21.0,6830.6259765625,7555.9525146484375,36.44261988185791,-587.0081163787872,-597.6647437882764,10.656627409489147,508.4988067091775,7555.9525146484375,9148.32914577721,5963.575883519665
2018-04-10,6795.43994140625,6872.41015625,6704.14990234375,6834.759765625,4272750080,18.0,6835.28388671875,7451.226489257812,37.557702978694984,-566.2808713152217,-591.3879692936655,25.10709797844379,484.1960529375398,7451.226489257812,8940.726789165547,5961.726189350078
2018-04-11,6843.47021484375,6968.31982421875,6817.58984375,6968.31982421875,4641889792,20.0,6901.68388671875,7363.218994140625,39.92532261107998,-532.9338698383945,-579.6971494026113,46.76327956421687,460.3770477611976,7363.218994140625,8744.522573596547,5981.915414684703
2018-04-12,6955.3798828125,7899.22998046875,6806.509765625,7889.25,8906250240,18.0,7097.31591796875,7313.70048828125,53.123714951961695,-427.26946582883284,-549.2116126878557,121.94214685902284,505.5444168385228,7313.70048828125,8535.845528592376,6091.555447970124
2018-04-13,7901.08984375,8183.9599609375,7758.93017578125,7895.9599609375,7764460032,23.0,7271.80390625,7275.09248046875,53.20438507461467,-339.0795288710133,-507.18519592448723,168.10566705347395,499.79337171836045,7275.09248046875,8365.317640219873,6184.867320717628
2018-04-14,7874.669921875,8140.7099609375,7846.0,7986.240234375,5191430144,,7514.90595703125,7249.615478515625,54.34286593800258,-258.9188495686358,-457.531926653317,198.6130770846812,485.1445566625847,7249.615478515625,8244.163152806244,6255.067804225006
2018-04-15,7999.330078125,8338.419921875,7999.330078125,8329.1103515625,5244480000,,7813.77607421875,7255.6009765625,58.474803291354654,-165.81279404818451,-399.1881001322905,233.375306084106,475.6470660081144,7255.6009765625,8274.328708772506,6236.873244352495
2018-04-16,8337.5703125,8371.150390625,7925.72998046875,8058.669921875,5631309824,,8031.84609375,7266.882470703125,54.30057520218328,-112.55044529300812,-341.8605691644341,229.31012387142596,473.48801916155264,7266.882470703125,8315.497688949767,6218.267252456484
2018-04-17,8071.66015625,8285.9599609375,7881.72021484375,7902.08984375,6900879872,26.0,8034.4140625,7264.262963867188,51.98665257851969,-82.02877719800654,-289.8942107711486,207.86543357314207,468.5417139424239,7264.262963867188,8306.235153007397,6222.290774726978
2018-04-18,7944.43017578125,8197.7998046875,7886.009765625,8163.419921875,6529909760,24.0,8087.9060546875,7314.148950195313,55.402456379139245,-36.33414465550686,-239.18219754802027,202.8480528925134,457.34516573671505,7314.148950195313,8425.681819512123,6202.6160808785025
2018-04-19,8159.27001953125,8298.6904296875,8138.77978515625,8294.3095703125,7063209984,25.0,8149.519921875,7384.338427734375,57.05057648404007,10.321897179420375,-189.28137860253216,199.60327578195253,436.09984279346753,7384.338427734375,8555.683698186012,6212.993157282737
2018-04-20,8286.8798828125,8880.23046875,8244.5400390625,8845.830078125,8438110208,26.0,8252.8638671875,7477.953442382813,63.21861460999117,90.75408559719017,-133.2742857625877,224.02837135977788,450.3563132858984,7477.953442382813,8793.412860003835,6162.494024761791
2018-04-21,8848.7900390625,8997.5703125,8652.150390625,8895.580078125,7548550144,32.0,8420.2458984375,7580.520947265625,63.724691984898,156.70518380943486,-75.2783918481832,231.98357565761808,442.8608567565485,7580.520947265625,8998.253318911757,6162.788575619493
2018-04-22,8925.0595703125,9001.6396484375,8779.6103515625,8802.4599609375,6629899776,31.0,8600.319921875,7666.453955078125,62.00500001715634,199.16207267518894,-20.390298943508775,219.55237161869772,427.0871739078665,7666.453955078125,9159.674555731763,6173.2333544244875
2018-04-23,8794.3896484375,8958.5498046875,8788.8095703125,8930.8798828125,6925190144,28.0,8753.8119140625,7740.192456054688,63.46911985342333,240.40068794550643,31.76789843429427,208.63278951121217,408.70524965551886,7740.192456054688,9327.28538152123,6153.099530588146
2018-04-24,8934.33984375,9732.6103515625,8927.830078125,9697.5,10678800384,29.0,9034.45,7882.375463867187,70.7221817003254,331.1254165176033,91.63940205095608,239.48601446664722,436.99632278280325,7882.375463867187,9627.965993422353,6136.7849343120215
2018-04-25,9701.0302734375,9745.3203125,8799.83984375,8845.740234375,11083100160,64.0,9034.43203125,7984.08896484375,57.14622649494669,330.48588732602366,139.40869910596962,191.07718822005404,473.3166189233173,7984.08896484375,9705.120770907475,6263.057158780024
2018-04-26,8867.3203125,9281.509765625,8727.08984375,9281.509765625,8970559488,47.0,9111.61796875,8116.348461914063,61.24511087907017,360.9808525625249,183.72312979728068,177.2577227652442,479.10971199129466,8116.348461914063,9809.08116225324,6423.615761574885
2018-04-27,9290.6298828125,9375.4697265625,8987.0498046875,8987.0498046875,7566289920,55.0,9148.5359375,8220.146459960937,57.259643056362826,357.26949394012445,218.43240262584945,138.837091314275,472.6318698401307,8220.146459960937,9858.237542756136,6582.055377165738
2018-04-28,8939.26953125,9412.08984375,8931.990234375,9348.48046875,7805479936,54.0,9232.0560546875,8336.394482421874,60.644904977645105,379.1223628769603,250.57039467607163,128.5519682008887,473.1652798069071,8336.394482421874,9948.080724877194,6724.708239966554
2018-04-29,9346.41015625,9531.490234375,9193.7099609375,9419.080078125,8853000192,61.0,9176.3720703125,8468.811987304687,61.2898766964907,397.5549513915521,279.9673060191677,117.58764537238437,463.4949222090923,8468.811987304687,9975.986666967125,6961.637307642251
2018-04-30,9426.1103515625,9477.1396484375,9166.8095703125,9240.5498046875,8673920000,59.0,9255.333984375,8589.101489257813,58.671332470276134,393.2241661485223,302.6186780450387,90.6054881034836,452.5545762030857,8589.101489257813,9930.290430837462,7247.912547678165
